OLD_HUM,CHLD_HUM
809.287,505.05
450.2235185185185,280.7166666666667
1998.0863095238096,1325.700595238095
1691.301228070175,1120.7766666666666
1340.1930555555555,889.8634722222222
1131.1490229885055,737.9135632183907
1131.1490229885055,737.9135632183907
2300.5600980392155,1174.8658333333333
2739.122264957265,1314.5715811965813
2428.503181818182,1165.335303030303
2188.216484641638,1050.185460750853
2093.38826625387,972.1672445820434
2123.704787535411,1002.552209631728
1958.2414882506528,925.7595039164491
1908.6117433414045,920.0316949152543
2586.9973814898417,1169.196704288939
2439.981183932347,1103.4602325581395
2361.0776341948313,1064.0886481113318
2228.8088367729833,1004.4083114446531
2179.914256880734,982.4266238532113
2080.9348161120843,937.7443607705782
1977.1963227953415,890.9404825291183
2778.7183042789225,966.0637242472268
2950.358925869894,1014.9766868381242
2826.4913333333334,972.3303333333336
2758.3387500000003,954.1534722222224
2758.3387500000003,954.1534722222224
2714.2637066666666,1003.5115066666668
2610.3519743589745,965.0771538461539
2517.057589616811,930.4953770086528
2435.637127532777,900.6504052443387
2435.637127532777,900.6504052443387
2352.070276179517,875.2576524741083
2283.822625698324,849.8426145251398
2445.0879135135137,931.645264864865
2437.1843318965516,928.6336422413794
2593.0733924843425,1028.6474425887266
2651.3777530364373,1082.0560627530365
2586.0891510365254,1055.352053307009
2512.3696260786196,1025.1070949185046
2443.9644734389562,996.8604287045669
2384.4228195829555,971.3310335448778
2323.4049514563108,945.7651985878201
2266.702519346518,921.602837489252
2331.9411651299247,919.8757837384745
2278.2490923957484,899.2210956663943
2318.9484596967277,920.8275977653633
2272.98329696025,908.7001013250197
2221.3409139375476,888.0021172886521
2192.9775725986597,877.2537304542071
2181.4913619810636,876.0620830298618
2136.4441583452212,857.9502781740371
2092.1246787709497,839.985719273743
2066.1617103448275,829.5614206896552
2025.2970135135135,812.8724391891893
2267.912794701987,949.0653774834439
2274.2597337662337,954.9406493506494
2235.07425477707,937.2846369426752
2194.0665375,920.7276375000001
2171.0121521335805,911.0491156462587
2146.2816029143896,906.5929143897996
2108.111967799642,890.4056529516995
2182.3143760984185,963.3720445225542
2219.0986470926887,1050.8142832469775
2350.186734578381,1164.1905432937183
